region_id	element_class	assembly	interval	orthology_status	evidence_status	effect_id	outcome	evidence_layer	source_id	species	value	unit	tested_interval	limitation	evidence_family_id	source_interval_ids	donor_ids	support_status
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	0	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ		ENCDO271OUW;ENCDO793LXB	not_detected_in_selected_file
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15409700-15410094	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.344	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	0	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ		ENCDO271OUW;ENCDO793LXB	not_detected_in_selected_file
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15406019-15406537	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.4973	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15377223-15377978	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15377223-15377978	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.5788	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	0	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ		ENCDO271OUW;ENCDO793LXB	not_detected_in_selected_file
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	0	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ		ENCDO271OUW;ENCDO793LXB	not_detected_in_selected_file
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.3298	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15262435-15263044	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15262435-15263044	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.2435	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15377223-15377978	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	4	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15377223-15377978;ENCFF632FMT:chr17:15389805-15390010;ENCFF632FMT:chr17:15406019-15406537;ENCFF632FMT:chr17:15409700-15410094	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.044	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12073	human cultured Schwann	22.0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12073			typed_assay_or_reference_record
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12345	human cultured Schwann	0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12345			typed_assay_or_reference_record
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12621	human cultured Schwann	1.0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12621			typed_assay_or_reference_record
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12073	human cultured Schwann	285.0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12073			typed_assay_or_reference_record
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12345	human cultured Schwann	1.0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12345			typed_assay_or_reference_record
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	CAGE	CNhs12621	human cultured Schwann	122.0	minus-strand tags	observational reference overlap	First-exon-family window plus 100 bp flank; not mature-RNA isoform abundance	CNhs12621			typed_assay_or_reference_record
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15247227-15273130	ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15247227-15273130	ENCDO793LXB	observed_peak_overlap
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15247227-15273130	ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15408219-15415421	ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15402591-15407584	ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15376419-15379539	ENCDO793LXB	observed_peak_overlap
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15247227-15273130	ENCDO793LXB	observed_peak_overlap
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15247227-15273130	ENCDO793LXB	observed_peak_overlap
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	measured		interval overlap or promoter initiation	H3K27ac	ENCFF703WKZ	human bulk tibial nerve	12	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR771YJT	ENCFF703WKZ:chr17:15376419-15379539;ENCFF703WKZ:chr17:15379701-15380857;ENCFF703WKZ:chr17:15380953-15381303;ENCFF703WKZ:chr17:15381912-15382316;ENCFF703WKZ:chr17:15382589-15382948;ENCFF703WKZ:chr17:15383089-15385050;ENCFF703WKZ:chr17:15388099-15389540;ENCFF703WKZ:chr17:15390251-15390549;ENCFF703WKZ:chr17:15392301-15392604;ENCFF703WKZ:chr17:15398551-15399847;ENCFF703WKZ:chr17:15402591-15407584;ENCFF703WKZ:chr17:15408219-15415421	ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15247835-15248344	ENCDO845WKR	observed_peak_overlap
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15247835-15248344	ENCDO845WKR	observed_peak_overlap
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15261943-15263684	ENCDO845WKR	observed_peak_overlap
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15409580-15410272	ENCDO845WKR	observed_peak_overlap
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	0	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK		ENCDO845WKR	not_detected_in_selected_file
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15377345-15378053	ENCDO845WKR	observed_peak_overlap
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured		interval overlap or promoter initiation	EP300	ENCFF474ZLP	human bulk tibial nerve	1	unique peak intervals	observational reference overlap	Shared donors across assays; cell composition unresolved	ENCSR580XUK	ENCFF474ZLP:chr17:15265086-15265503	ENCDO845WKR	observed_peak_overlap
