experiment	donor	file	symbol	gene_id	annotation	TPM	primary_PMP22_gene	symbol_assignment	expected_count	source_posterior_TPM_low	source_posterior_TPM_high	interpretation
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	CDRT7	ENSG00000259944.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	7.34751e-07	0.0298569	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	MIR4731	ENSG00000265110.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	CDRT8	ENSG00000265163.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	4.88817e-08	0.077141	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000265445	ENSG00000265445.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.10916e-07	0.152496	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000266538	ENSG00000266538.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.96772e-06	0.333372	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000266667	ENSG00000266667.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.25719e-07	0.05608	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000279567	ENSG00000279567.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.44947e-07	0.0526688	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000279660	ENSG00000279660.1	V29	0.01	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	2.0	0.00148748	0.0295873	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	PMP22	ENSG00000109099.14	V29	138.15	True	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	25802.0	134.04	140.003	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	TEKT3	ENSG00000125409.12	V29	0.17	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	22.0	0.178139	0.419918	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	TVP23C	ENSG00000175106.16	V29	1.45	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	214.89	1.29069	1.75924	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	RNU6-799P	ENSG00000200437.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	PMP22	ENSG00000230971.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	5.61898e-09	0.0103262	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000232058	ENSG00000232058.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	8.03979e-08	0.0225554	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000237377	ENSG00000237377.2	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.80551e-07	0.296934	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	RN7SL792P	ENSG00000239888.3	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.35743e-06	0.632266	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	FBXW10B	ENSG00000241322.10	V29	0.1	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	3.0	0.0656767	0.319158	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000251537	ENSG00000251537.4	V29	0.03	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	33.64	0.0135417	0.0467526	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	SNORA74	ENSG00000252129.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	TVP23C-CDRT4	ENSG00000259024.6	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0.0120617	0.138457	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	CDRT7	ENSG00000259944.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	8.28182e-08	0.0327248	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	MIR4731	ENSG00000265110.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	CDRT8	ENSG00000265163.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.10386e-06	0.0883111	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000265445	ENSG00000265445.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.43875e-06	0.194852	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000266538	ENSG00000266538.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	6.11058e-06	0.483799	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000266667	ENSG00000266667.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.11966e-09	0.0629019	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000279567	ENSG00000279567.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.1096e-08	0.0596175	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR648OSR	ENCDO451RUA	ENCFF005RLW	ENSG00000279660	ENSG00000279660.1	V29	0.03	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	5.0	0.00848261	0.0537377	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	PMP22	ENSG00000109099.14	V29	105.92	True	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	21127.0	101.73	108.137	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	TEKT3	ENSG00000125409.12	V29	0.01	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	3.0	0.0616978	0.260619	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	TVP23C	ENSG00000175106.16	V29	1.34	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	241.18	1.24616	1.73966	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	RNU6-799P	ENSG00000200437.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	PMP22	ENSG00000230971.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.74813e-08	0.0105293	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000232058	ENSG00000232058.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.66171e-07	0.0231852	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000237377	ENSG00000237377.2	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	4.67028e-06	0.327146	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	RN7SL792P	ENSG00000239888.3	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	5.29911e-06	0.765267	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	FBXW10B	ENSG00000241322.10	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0.0234501	0.175499	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000251537	ENSG00000251537.4	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	9.84967e-08	0.00879867	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	SNORA74	ENSG00000252129.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	TVP23C-CDRT4	ENSG00000259024.6	V29	0.2	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	53.36	0.0753872	0.325281	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	CDRT7	ENSG00000259944.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.90502e-07	0.0331848	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	MIR4731	ENSG00000265110.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	CDRT8	ENSG00000265163.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.6214e-07	0.09243	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000265445	ENSG00000265445.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.19833e-07	0.20445	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000266538	ENSG00000266538.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	9.44752e-06	0.55317	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000266667	ENSG00000266667.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.82183e-07	0.0654426	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000279567	ENSG00000279567.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.19157e-08	0.060563	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR796HLX	ENCDO845WKR	ENCFF197RQL	ENSG00000279660	ENSG00000279660.1	V29	0.05	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	9.0	0.0221367	0.083148	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	PMP22	ENSG00000109099.14	V29	26.15	True	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	7402.0	25.3825	27.3172	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	TEKT3	ENSG00000125409.12	V29	0.04	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	11.0	0.0750471	0.254498	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	TVP23C	ENSG00000175106.16	V29	0.33	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	85.01	0.338788	0.596203	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	RNU6-799P	ENSG00000200437.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	PMP22	ENSG00000230971.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	6.28814e-08	0.00985937	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000232058	ENSG00000232058.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.53143e-08	0.0212343	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000237377	ENSG00000237377.2	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.59881e-07	0.22568	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	RN7SL792P	ENSG00000239888.3	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	4.85856e-07	0.464904	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	FBXW10B	ENSG00000241322.10	V29	0.01	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	7.8	0.0435275	0.200618	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000251537	ENSG00000251537.4	V29	0.06	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	67.49	0.0439231	0.076143	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	SNORA74	ENSG00000252129.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	TVP23C-CDRT4	ENSG00000259024.6	V29	0.18	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	88.64	0.146693	0.282461	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	CDRT7	ENSG00000259944.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	6.63049e-07	0.0300118	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	MIR4731	ENSG00000265110.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	CDRT8	ENSG00000265163.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	2.23481e-06	0.0780309	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000265445	ENSG00000265445.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.23284e-07	0.155927	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000266538	ENSG00000266538.1	V29	0.24	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	2.0	0.0372067	0.763439	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000266667	ENSG00000266667.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	6.00113e-07	0.0565213	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000279567	ENSG00000279567.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.61882e-07	0.054136	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR858QEL	ENCDO793LXB	ENCFF495AYZ	ENSG00000279660	ENSG00000279660.1	V29	0.05	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	11.0	0.0260508	0.0879951	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
