bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
701	ENST00000953631.1	chr17	-	15229779	15265327	15230916	15260727	5	15229779,15239470,15259093,15260649,15265149,	15231080,15239611,15259193,15260757,15265327,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901368.2	chr17	-	15229779	15265360	15230916	15260727	5	15229779,15239470,15259093,15260649,15265153,	15231080,15239611,15259193,15260983,15265360,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00001007919.1	chr17	-	15229779	15265360	15230734	15260727	5	15229779,15239470,15259093,15260649,15265153,	15231080,15239600,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	2,1,0,0,-1,
701	ENST00001050672.1	chr17	-	15229779	15265360	15230734	15260727	5	15229779,15239470,15259093,15260649,15265153,	15231080,15239600,15259193,15260757,15265360,	0	PMP22	cmpl	cmpl	2,1,0,0,-1,
701	ENST00000953634.1	chr17	-	15229781	15261368	15230916	15260727	5	15229781,15239470,15259093,15260649,15261237,	15231080,15239611,15259193,15260757,15261368,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000676221.2	chr17	-	15229783	15265360	15230916	15260727	5	15229783,15239470,15259093,15260649,15265153,	15231080,15239611,15259193,15260757,15265360,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000953636.1	chr17	-	15229784	15261347	15230916	15260727	5	15229784,15239470,15259093,15260649,15261124,	15231080,15239611,15259193,15260757,15261347,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00001050676.1	chr17	-	15229784	15263190	15233217	15260727	6	15229784,15233188,15239470,15259093,15260649,15262428,	15231080,15233315,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
701	ENST00000675950.1	chr17	-	15229784	15263204	15230916	15260727	5	15229784,15239470,15259093,15260649,15263064,	15231080,15239611,15259193,15260761,15263204,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000674871.1	chr17	-	15229785	15260091	15229785	15229785	4	15229785,15239470,15259093,15259997,	15231080,15239611,15259193,15260091,	0	PMP22	none	none	-1,-1,-1,-1,
701	ENST00000675808.2	chr17	-	15229785	15263190	15230916	15260727	5	15229785,15239470,15259093,15260649,15262428,	15231080,15239611,15259193,15260983,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901372.2	chr17	-	15229785	15263190	15230916	15260727	5	15229785,15239470,15259093,15260649,15262428,	15231101,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000953632.2	chr17	-	15229785	15265360	15230916	15260727	6	15229785,15239470,15259093,15260649,15262428,15265153,	15231080,15239611,15259193,15260761,15262735,15265360,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,-1,
701	ENST00000674651.2	chr17	-	15229789	15261368	15230916	15260727	5	15229789,15239470,15259093,15260649,15261237,	15231080,15239611,15259193,15260761,15261368,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000644020.2	chr17	-	15229789	15262332	15235246	15260727	5	15229789,15235218,15239470,15259093,15260649,	15231080,15235284,15239611,15259193,15262332,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,
701	ENST00000674707.1	chr17	-	15229794	15262544	15230916	15239585	3	15229794,15239470,15262428,	15231080,15239611,15262544,	0	PMP22	cmpl	cmpl	1,0,-1,
701	ENST00000676161.2	chr17	-	15229794	15265360	15230916	15260727	4	15229794,15259093,15260649,15265153,	15231080,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	1,0,0,-1,
701	ENST00000395936.8	chr17	-	15229816	15263190	15235246	15260727	6	15229816,15235218,15239470,15259093,15260649,15262428,	15231080,15235284,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
701	ENST00000646419.3	chr17	-	15229816	15265360	15235246	15260727	6	15229816,15235218,15239470,15259093,15260649,15265153,	15231080,15235284,15239611,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
701	ENST00000674947.2	chr17	-	15229817	15262332	15230734	15260727	4	15229817,15239470,15259093,15260649,	15231080,15239600,15259193,15262332,	0	PMP22	cmpl	cmpl	2,1,0,0,
701	ENST00000675197.1	chr17	-	15230125	15259412	15230125	15230125	4	15230125,15239470,15259093,15259354,	15231080,15239611,15259193,15259412,	0	PMP22	none	none	-1,-1,-1,-1,
701	ENST00000675350.1	chr17	-	15230711	15272007	15230916	15260727	5	15230711,15239470,15259093,15260649,15271671,	15231080,15239611,15259193,15260761,15272007,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000674868.1	chr17	-	15230718	15272292	15230916	15260727	5	15230718,15239470,15259093,15260649,15271695,	15231080,15239611,15259193,15260761,15272292,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000426385.5	chr17	-	15235786	15263190	15239411	15260727	4	15235786,15259093,15260649,15262428,	15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,0,0,-1,
701	ENST00001116263.1	chr17	-	15256581	15263190	15259046	15260727	3	15256581,15260649,15262428,	15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	0,0,-1,
701	ENST00001116264.1	chr17	-	15256582	15263190	15257573	15260727	4	15256582,15259093,15260649,15262428,	15257584,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,0,0,-1,
701	ENST00000580497.1	chr17	-	15258736	15260768	15258736	15258736	2	15258736,15260649,	15259193,15260768,	0	PMP22	none	none	-1,-1,
701	ENST00000471150.3	chr17	-	15260020	15265308	15260020	15260020	2	15260020,15265153,	15260761,15265308,	0	PMP22	none	none	-1,-1,
701	ENST00000431343.1	chr17	-	15267460	15272290	15267460	15267460	2	15267460,15271671,	15268614,15272290,	0	PMP22	none	none	-1,-1,
701	ENST00000676194.1	chr17	-	15271638	15272281	15271638	15271638	1	15271638,	15272281,	0	PMP22	none	none	-1,
